target,stage,members,weights,r2
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.80,0.05,0.15",0.5914736590669563
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.80,0.10,0.10",0.5985388782547113
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.80,0.15,0.05",0.6046586007385648
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.80,0.20,0.00",0.6098328265185164
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.85,0.00,0.15",0.5773689782300648
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.85,0.05,0.10",0.5854362166983198
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.85,0.10,0.05",0.592557958462673
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.85,0.15,0.00",0.5987342035231242
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.90,0.00,0.10",0.5712172607726838
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.90,0.05,0.05",0.5793410218175367
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.90,0.10,0.00",0.5865192861584878
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.95,0.00,0.05",0.5650077908031561
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","0.95,0.05,0.00",0.573188074424607
Q0_TOTAL_ASSETS,coarse,"B4,M3d,M4","1.00,0.00,0.00",0.5587405683214817
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.00,0.35,0.65",0.703001092527787
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.00,0.36,0.64",0.7031743078118545
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.00,0.37,0.63",0.703309703227766
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.00,0.38,0.62",0.7034072787755216
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.00,0.39,0.61",0.7034670344551208
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.00,0.40,0.60",0.7034889702665642
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.00,0.41,0.59",0.7034730862098515
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.00,0.42,0.58",0.7034193822849828
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.00,0.43,0.57",0.7033278584919578
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.00,0.44,0.56",0.7031985148307769
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.00,0.45,0.55",0.7030313513014398
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.01,0.35,0.64",0.7020508593858183
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.01,0.36,0.63",0.7022263355729499
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.01,0.37,0.62",0.7023639918919253
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.01,0.38,0.61",0.7024638283427448
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.01,0.39,0.60",0.702525844925408
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.01,0.40,0.59",0.7025500416399153
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.01,0.41,0.58",0.7025364184862665
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.01,0.42,0.57",0.7024849754644615
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.01,0.43,0.56",0.7023957125745006
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.01,0.44,0.55",0.7022686298163836
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.02,0.35,0.63",0.701098316143364
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.02,0.36,0.62",0.7012760532335593
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.02,0.37,0.61",0.7014159704555989
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.02,0.38,0.60",0.7015180678094821
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.02,0.39,0.59",0.7015823452952094
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.02,0.40,0.58",0.7016088029127805
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.02,0.41,0.57",0.7015974406621956
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.02,0.42,0.56",0.7015482585434547
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.02,0.43,0.55",0.7014612565565577
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.03,0.35,0.62",0.7001434628004237
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.03,0.36,0.61",0.700323460793683
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.03,0.37,0.60",0.7004656389187864
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.03,0.38,0.59",0.7005699971757335
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.03,0.39,0.58",0.7006365355645248
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.03,0.40,0.57",0.7006652540851598
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.03,0.41,0.56",0.7006561527376389
Q0_TOTAL_ASSETS,fine,"B4,M3d,M4","0.03,0.42,0.55",0.7006092315219618
